forecast_model,feature_set,cv_kind,estimator,n_runs,mae_mean,mae_sd,r2_mean,r2_sd,r2_min,r2_max,r2_se,r2_ci95_halfwidth,model_order,feature_order,best_feature_set,best_r2_mean
regional_doy_climatology,physical_knowledge,group_by_cell,random_forest,3,0.6589230238765923,0.0072445562923957,0.0395058040111605,0.009084102780082,0.0317010661756828,0.0494773964219578,0.0052447091854266,0.0666403486930766,0,0,generic_shift,0.9664167342973032
regional_doy_climatology,generic_shift,group_by_cell,random_forest,3,0.1073101557069965,0.0001665970171795,0.9664167342973032,0.0013894289022924,0.9650904082796692,0.9678616627093812,0.0008021871507583,0.0101927541744709,0,1,generic_shift,0.9664167342973032
regional_doy_climatology,physical_plus_shift,group_by_cell,random_forest,3,0.1164827407414256,0.0092385063406474,0.8267205282416953,0.0589739857734874,0.7624382061109254,0.8783236597653469,0.0340486465615081,0.4326290742089373,0,2,generic_shift,0.9664167342973032
spatial_knn_ridge,physical_knowledge,group_by_cell,random_forest,3,0.0600972894535657,0.0005161272538501,0.3050328867439881,0.0114471079091134,0.2953827066999127,0.3176804954346252,0.0066089908327693,0.0839751906223704,1,0,physical_plus_shift,0.832029365008323
spatial_knn_ridge,generic_shift,group_by_cell,random_forest,3,0.0291957953630336,0.0003999759796448,0.6555408217103131,0.0036005754951899,0.6532732102162586,0.6596925070905575,0.0020787932313855,0.0264135724026935,1,1,physical_plus_shift,0.832029365008323
spatial_knn_ridge,physical_plus_shift,group_by_cell,random_forest,3,0.0202313473176615,0.0009080373683924,0.832029365008323,0.0198334124619969,0.8098394032412382,0.8480303062941905,0.0114508260238828,0.1454965398607201,1,2,physical_plus_shift,0.832029365008323
linear_window,physical_knowledge,group_by_cell,random_forest,3,1.1822736465034962,0.0233022082347899,-0.1370570638180709,0.0912996310240506,-0.2395639475439521,-0.0644757829475259,0.0527118665486491,0.669767768406622,2,0,generic_shift,-0.0101843977270505
linear_window,generic_shift,group_by_cell,random_forest,3,1.1362740189063083,0.0124778787581816,-0.0101843977270505,0.007300995329233,-0.018602682731883,-0.0055829658154709,0.0042152316186848,0.0535595959584922,2,1,generic_shift,-0.0101843977270505
linear_window,physical_plus_shift,group_by_cell,random_forest,3,1.1821141883184467,0.0238344594054673,-0.138557709814984,0.094906089725585,-0.2455228172438492,-0.0644350201623049,0.0547940564508013,0.6962244996034991,2,2,generic_shift,-0.0101843977270505
patchtst_small,physical_knowledge,group_by_cell,random_forest,3,1.1869993941858477,0.0256915289755972,-0.1368013318818881,0.1034027775846064,-0.2539493612446444,-0.0582426024282478,0.0596996214734275,0.7585556131288679,3,0,generic_shift,-0.0099634033202292
patchtst_small,generic_shift,group_by_cell,random_forest,3,1.1414663039966035,0.0133569283035515,-0.0099634033202292,0.0071980327976635,-0.0182706065613689,-0.005576441700863,0.0041557861733667,0.052804269959632,3,1,generic_shift,-0.0099634033202292
patchtst_small,physical_plus_shift,group_by_cell,random_forest,3,1.1867963226230729,0.0256759434600159,-0.1370063376542871,0.1030804170594009,-0.2537577550095213,-0.0585706616213133,0.059513506537424,0.7561907986474995,3,2,generic_shift,-0.0099634033202292
stgcn_diffusion,physical_knowledge,group_by_cell,random_forest,3,0.066858524624451,0.005500010100644,0.2394256295671141,0.0622026681942005,0.195525582207975,0.3106073636768202,0.0359127272262346,0.4563144647801764,4,0,physical_plus_shift,0.3739859297659231
stgcn_diffusion,generic_shift,group_by_cell,random_forest,3,0.066933153276838,0.0044523389121687,0.0832809205359116,0.0369315653349648,0.0527925263490794,0.1243472763892384,0.0213224491877362,0.2709274048615466,4,1,physical_plus_shift,0.3739859297659231
stgcn_diffusion,physical_plus_shift,group_by_cell,random_forest,3,0.050613245187729,0.0048924485266275,0.3739859297659231,0.0740188260833424,0.3244849109152047,0.4590773329890354,0.0427347891643178,0.5429969804900827,4,2,physical_plus_shift,0.3739859297659231
graphwavenet_transfer,physical_knowledge,group_by_cell,random_forest,3,0.0767288245478168,0.0017292852831759,0.303710783155527,0.0275216030892396,0.2787695650536625,0.3332369005922585,0.0158896049521025,0.2018965737024405,5,0,physical_plus_shift,0.3887608810429992
graphwavenet_transfer,generic_shift,group_by_cell,random_forest,3,0.0809161753408353,0.0002901510299152,0.1450713627362702,0.012766107857471,0.1305891242473695,0.1546940961584444,0.0073705158080147,0.093651282869744,5,1,physical_plus_shift,0.3887608810429992
graphwavenet_transfer,physical_plus_shift,group_by_cell,random_forest,3,0.0638063643120376,0.0029682684531315,0.3887608810429992,0.0430219679732616,0.3438343764391983,0.4295843244211342,0.02483874479043,0.3156061767031906,5,2,physical_plus_shift,0.3887608810429992
