threshold_profile,deploy_threshold,adapt_threshold,model,source_region,target_region,degradation_mean,degradation_ci95_halfwidth,risk_score,decision
strict,0.005,0.02,graphwavenet_transfer,MED,NEU,0.0167164454800053,0.0034794032259693,0.0201958487059746,retrain
strict,0.005,0.02,graphwavenet_transfer,MED,WCE,0.0010361076763359,0.0015989034903102,0.0026350111666461,deploy
strict,0.005,0.02,graphwavenet_transfer,NEU,MED,0.0132737467244928,0.0124205073222469,0.025694254046739702,retrain
strict,0.005,0.02,graphwavenet_transfer,NEU,WCE,0.0033114183068151,0.0100578115565486,0.0133692298633637,adapt
strict,0.005,0.02,graphwavenet_transfer,WCE,MED,0.0096047307125051,0.000916114360437,0.010520845072942101,adapt
strict,0.005,0.02,graphwavenet_transfer,WCE,NEU,0.0298683277818426,0.0074670375866168,0.037335365368459404,retrain
strict,0.005,0.02,stgcn_diffusion,MED,NEU,0.0239938098259905,0.0026031196151565,0.026596929441147,retrain
strict,0.005,0.02,stgcn_diffusion,MED,WCE,0.0034299693131789,0.0003926772603575,0.0038226465735364,deploy
strict,0.005,0.02,stgcn_diffusion,NEU,MED,0.012906745180891,0.0041159635213615,0.0170227087022525,adapt
strict,0.005,0.02,stgcn_diffusion,NEU,WCE,0.0046656142770724,0.0024696716972902,0.0071352859743626,adapt
strict,0.005,0.02,stgcn_diffusion,WCE,MED,0.0064161884075546,0.000352843485465,0.0067690318930196,adapt
strict,0.005,0.02,stgcn_diffusion,WCE,NEU,0.0177208712045326,0.0049002001327767,0.022621071337309298,retrain
main,0.01,0.025,graphwavenet_transfer,MED,NEU,0.0167164454800053,0.0034794032259693,0.0201958487059746,adapt
main,0.01,0.025,graphwavenet_transfer,MED,WCE,0.0010361076763359,0.0015989034903102,0.0026350111666461,deploy
main,0.01,0.025,graphwavenet_transfer,NEU,MED,0.0132737467244928,0.0124205073222469,0.025694254046739702,retrain
main,0.01,0.025,graphwavenet_transfer,NEU,WCE,0.0033114183068151,0.0100578115565486,0.0133692298633637,adapt
main,0.01,0.025,graphwavenet_transfer,WCE,MED,0.0096047307125051,0.000916114360437,0.010520845072942101,adapt
main,0.01,0.025,graphwavenet_transfer,WCE,NEU,0.0298683277818426,0.0074670375866168,0.037335365368459404,retrain
main,0.01,0.025,stgcn_diffusion,MED,NEU,0.0239938098259905,0.0026031196151565,0.026596929441147,retrain
main,0.01,0.025,stgcn_diffusion,MED,WCE,0.0034299693131789,0.0003926772603575,0.0038226465735364,deploy
main,0.01,0.025,stgcn_diffusion,NEU,MED,0.012906745180891,0.0041159635213615,0.0170227087022525,adapt
main,0.01,0.025,stgcn_diffusion,NEU,WCE,0.0046656142770724,0.0024696716972902,0.0071352859743626,deploy
main,0.01,0.025,stgcn_diffusion,WCE,MED,0.0064161884075546,0.000352843485465,0.0067690318930196,deploy
main,0.01,0.025,stgcn_diffusion,WCE,NEU,0.0177208712045326,0.0049002001327767,0.022621071337309298,adapt
lenient,0.015,0.03,graphwavenet_transfer,MED,NEU,0.0167164454800053,0.0034794032259693,0.0201958487059746,adapt
lenient,0.015,0.03,graphwavenet_transfer,MED,WCE,0.0010361076763359,0.0015989034903102,0.0026350111666461,deploy
lenient,0.015,0.03,graphwavenet_transfer,NEU,MED,0.0132737467244928,0.0124205073222469,0.025694254046739702,adapt
lenient,0.015,0.03,graphwavenet_transfer,NEU,WCE,0.0033114183068151,0.0100578115565486,0.0133692298633637,deploy
lenient,0.015,0.03,graphwavenet_transfer,WCE,MED,0.0096047307125051,0.000916114360437,0.010520845072942101,deploy
lenient,0.015,0.03,graphwavenet_transfer,WCE,NEU,0.0298683277818426,0.0074670375866168,0.037335365368459404,retrain
lenient,0.015,0.03,stgcn_diffusion,MED,NEU,0.0239938098259905,0.0026031196151565,0.026596929441147,adapt
lenient,0.015,0.03,stgcn_diffusion,MED,WCE,0.0034299693131789,0.0003926772603575,0.0038226465735364,deploy
lenient,0.015,0.03,stgcn_diffusion,NEU,MED,0.012906745180891,0.0041159635213615,0.0170227087022525,adapt
lenient,0.015,0.03,stgcn_diffusion,NEU,WCE,0.0046656142770724,0.0024696716972902,0.0071352859743626,deploy
lenient,0.015,0.03,stgcn_diffusion,WCE,MED,0.0064161884075546,0.000352843485465,0.0067690318930196,deploy
lenient,0.015,0.03,stgcn_diffusion,WCE,NEU,0.0177208712045326,0.0049002001327767,0.022621071337309298,adapt
