source_region,target_region,model,n_stations,n_cells,mae_mean,brier_mean,mae_out_minus_in_mean,brier_out_minus_in_mean,seed_label
MED,MED,graphwavenet_transfer,913,20,2.060076683120787,0.1838317052201417,0.0,0.0,large_s1
MED,NEU,graphwavenet_transfer,1000,31,2.2974147299528034,0.2974466304029218,0.0168397563180462,0.0055338944480863,large_s1
MED,WCE,graphwavenet_transfer,1000,16,2.0087755730017407,0.2899393042242401,0.0009627816800823,0.0023612096072035,large_s1
NEU,MED,graphwavenet_transfer,913,20,2.0859971486610838,0.1939736716907852,0.0259204655402962,0.0101419664706435,large_s1
NEU,NEU,graphwavenet_transfer,1000,31,2.2805749736347574,0.2919127359548355,0.0,0.0,large_s1
NEU,WCE,graphwavenet_transfer,1000,16,2.021383030253848,0.2920113665148633,0.0135702389321895,0.0044332718978268,large_s1
WCE,MED,graphwavenet_transfer,913,20,2.0688917838678966,0.1857955152585223,0.0088151007471093,0.0019638100383806,large_s1
WCE,NEU,graphwavenet_transfer,1000,31,2.318009381766298,0.2957206394444601,0.0374344081315409,0.0038079034896245,large_s1
WCE,WCE,graphwavenet_transfer,1000,16,2.0078127913216584,0.2875780946170365,0.0,0.0,large_s1
MED,MED,stgcn_diffusion,913,20,2.0641442193637847,0.1854226037982989,0.0,0.0,large_s1
MED,NEU,stgcn_diffusion,1000,31,2.3135288540546326,0.2986244523844102,0.0266448074750468,0.0067826465050723,large_s1
MED,WCE,stgcn_diffusion,1000,16,2.011302992339871,0.287652672492622,0.0038146630880169,-0.0005401160088112,large_s1
NEU,MED,stgcn_diffusion,913,20,2.075278876919603,0.1900926996851936,0.0111346575558181,0.0046700958868947,large_s1
NEU,NEU,stgcn_diffusion,1000,31,2.2868840465795857,0.2918418058793379,0.0,0.0,large_s1
NEU,WCE,stgcn_diffusion,1000,16,2.011159979838573,0.2892608939458934,0.003671650586719,0.0010681054444601,large_s1
WCE,MED,stgcn_diffusion,913,20,2.0708478352644444,0.1877573350998398,0.0067036159006597,0.0023347313015409,large_s1
WCE,NEU,stgcn_diffusion,1000,31,2.30959491342492,0.2935037503002017,0.0227108668453341,0.0016619444208638,large_s1
WCE,WCE,stgcn_diffusion,1000,16,2.0074883292518537,0.2881927885014332,0.0,0.0,large_s1
MED,MED,graphwavenet_transfer,913,20,2.060271834808509,0.1838859396998338,0.0,0.0,large_s2
MED,NEU,graphwavenet_transfer,1000,30,2.2349111110459403,0.2961076048740825,0.0135818985963966,0.005503968046901,large_s2
MED,WCE,graphwavenet_transfer,1000,18,2.068729382212892,0.289765755049329,-0.0003387516575882,0.0009445781296707,large_s2
NEU,MED,graphwavenet_transfer,913,20,2.0665026121889847,0.1866924868925705,0.0062307773804754,0.0028065471927366,large_s2
NEU,NEU,graphwavenet_transfer,1000,30,2.221329212449544,0.2906036368271814,0.0,0.0,large_s2
NEU,WCE,graphwavenet_transfer,1000,18,2.0675059745144986,0.2895346773690674,-0.0015621593559808,0.0007135004494092,large_s2
WCE,MED,graphwavenet_transfer,913,20,2.07070470081512,0.1876104287534341,0.0104328660066102,0.0037244890536002,large_s2
WCE,NEU,graphwavenet_transfer,1000,30,2.2481939625488647,0.2937557072719702,0.0268647500993212,0.0031520704447888,large_s2
WCE,WCE,graphwavenet_transfer,1000,18,2.0690681338704797,0.2888211769196583,0.0,0.0,large_s2
MED,MED,stgcn_diffusion,913,20,2.0640852569637684,0.1854274296485812,0.0,0.0,large_s2
MED,NEU,stgcn_diffusion,1000,30,2.2499206727897443,0.2974698526851663,0.0228128265795978,0.0056158811488617,large_s2
MED,WCE,stgcn_diffusion,1000,18,2.0704401839402227,0.2879833358628754,0.0033346947291989,-0.0004492975897319,large_s2
NEU,MED,stgcn_diffusion,913,20,2.074580388518603,0.1897274224448086,0.010495131554835,0.0042999927962273,large_s2
NEU,NEU,stgcn_diffusion,1000,30,2.2271078462101466,0.2918539715363045,0.0,0.0,large_s2
NEU,WCE,stgcn_diffusion,1000,18,2.070262567024356,0.2891992884892901,0.0031570778133325,0.0007666550366828,large_s2
WCE,MED,stgcn_diffusion,913,20,2.070545516182205,0.1881389442872275,0.0064602592184368,0.0027115146386463,large_s2
WCE,NEU,stgcn_diffusion,1000,30,2.242057152625428,0.2928382869663188,0.0149493064152815,0.0009843154300143,large_s2
WCE,WCE,stgcn_diffusion,1000,18,2.0671054892110234,0.2884326334526073,0.0,0.0,large_s2
MED,MED,graphwavenet_transfer,913,20,2.0595924725524064,0.1841411197951835,0.0,0.0,large_s3
MED,NEU,graphwavenet_transfer,1000,28,2.2182062598008225,0.2947745015183166,0.0197276815255731,0.0045802620517766,large_s3
MED,WCE,graphwavenet_transfer,1000,18,2.065264153317451,0.2891375192081309,0.0024842930065138,0.0002909207754467,large_s3
NEU,MED,graphwavenet_transfer,913,20,2.0672624698051134,0.1870669511987429,0.0076699972527069,0.0029258314035594,large_s3
NEU,NEU,graphwavenet_transfer,1000,28,2.198478578275249,0.2901942394665399,0.0,0.0,large_s3
NEU,WCE,graphwavenet_transfer,1000,18,2.0607060356551736,0.2893686730666434,-0.0020738246557634,0.0005220746339591,large_s3
WCE,MED,graphwavenet_transfer,913,20,2.0691586979362024,0.187285452717428,0.0095662253837959,0.0031443329222445,large_s3
WCE,NEU,graphwavenet_transfer,1000,28,2.223784403389915,0.2927284672764891,0.0253058251146658,0.0025342278099492,large_s3
WCE,WCE,graphwavenet_transfer,1000,18,2.062779860310937,0.2888465984326842,0.0,0.0,large_s3
MED,MED,stgcn_diffusion,913,20,2.0640260769013623,0.1854377584867432,0.0,0.0,large_s3
MED,NEU,stgcn_diffusion,1000,28,2.2282201269813986,0.2971308841631013,0.0225237954233271,0.0057316161825672,large_s3
MED,WCE,stgcn_diffusion,1000,18,2.0644501224579805,0.2882903104050787,0.0031405501223211,-0.0005807525609076,large_s3
NEU,MED,stgcn_diffusion,913,20,2.081116523333382,0.1919810327546332,0.0170904464320199,0.0065432742678899,large_s3
NEU,NEU,stgcn_diffusion,1000,28,2.2056963315580718,0.2913992679805341,0.0,0.0,large_s3
NEU,WCE,stgcn_diffusion,1000,18,2.068477686766825,0.2912669840298795,0.0071681144311657,0.0023959210638931,large_s3
WCE,MED,stgcn_diffusion,913,20,2.07011076700493,0.1878257667961676,0.0060846901035674,0.0023880083094243,large_s3
WCE,NEU,stgcn_diffusion,1000,28,2.221198771911054,0.2925605566200125,0.0155024403529824,0.0011612886394784,large_s3
WCE,WCE,stgcn_diffusion,1000,18,2.061309572335659,0.2888710629659863,0.0,0.0,large_s3
