forecast_model,cv_kind,feature_group,n_features,n_seeds,mae_mean,mae_sd,r2_mean,r2_sd,r2_min,r2_max
graphwavenet_transfer,group_by_cell,extremes,3,3,0.02196221578485447,0.01033324266415952,-0.07125495084708204,0.0216728322926414,-0.09536985093226891,-0.05340393929225362
graphwavenet_transfer,group_by_cell,intensity,3,3,0.01685359717476211,0.008853273806176799,0.43938444735473564,0.06698712795806788,0.3738835536374565,0.5077649377686227
graphwavenet_transfer,group_by_cell,intermittency,2,3,0.02170164953245048,0.010040058571868175,-0.191009323447645,0.08361322356315344,-0.24750031024818142,-0.09495713817741391
graphwavenet_transfer,group_by_cell,occurrence,2,3,0.016818567424941682,0.008125651924734802,0.483102798390689,0.06651804751729963,0.42509379446411577,0.5557062366150685
graphwavenet_transfer,group_by_cell,physical_all,12,3,0.01583438131618884,0.008068550086646798,0.5104679003446398,0.07341851625724838,0.43157741615630363,0.5767924496808715
graphwavenet_transfer,group_by_cell,physical_plus_shift,23,3,0.012604116261621709,0.004292265547475622,0.615455175696636,0.09149087185734665,0.5397288632164605,0.7171127190866411
graphwavenet_transfer,group_by_cell,seasonality,2,3,0.018700846194422954,0.008868642078331261,0.2885855177741566,0.07137491850019342,0.2366550841542543,0.3699745700607864
graphwavenet_transfer,group_by_cell,shift_only,11,3,0.020016360294700636,0.008886064024047121,0.02824988080509172,0.022402157686156533,0.0033253023571654383,0.04670639315555747
graphwavenet_transfer,leave_target_region_out,extremes,3,3,0.035754131713010624,0.019038851232590623,-1.3856304853686634,0.522642795552674,-1.7748637878828104,-0.7916035576995251
graphwavenet_transfer,leave_target_region_out,intensity,3,3,0.02601310779507582,0.014909148599582143,-0.5546889937714431,0.0789105210346948,-0.6365314842230689,-0.4790802090325188
graphwavenet_transfer,leave_target_region_out,intermittency,2,3,0.0259868895214464,0.01195398060942497,-0.5570916107041138,0.03217428990559352,-0.5833344182277944,-0.5211958524863187
graphwavenet_transfer,leave_target_region_out,occurrence,2,3,0.028278161909123325,0.014484371823123699,-0.7785543849371299,0.0010210170182917498,-0.7792985500836609,-0.7773903810119249
graphwavenet_transfer,leave_target_region_out,physical_all,12,3,0.029740089832672748,0.015271613212020037,-1.031037030257459,0.028984288653975284,-1.0592061155208072,-1.0013010990181686
graphwavenet_transfer,leave_target_region_out,physical_plus_shift,23,3,0.030552809871473175,0.01559536764305282,-0.8910244254905049,0.13519538150456778,-0.9898689128314979,-0.7369593766593676
graphwavenet_transfer,leave_target_region_out,seasonality,2,3,0.02665064298510424,0.012676432216455532,-0.667555090623491,0.0424593524116455,-0.7044447144943089,-0.6211430953258181
graphwavenet_transfer,leave_target_region_out,shift_only,11,3,0.02242544003493475,0.006611893637364855,-0.1356939950314445,0.09853954208166411,-0.1962448177922289,-0.021990532307945232
stgcn_diffusion,group_by_cell,extremes,3,3,0.019876296365468043,0.0025386783816545464,-0.11463486862617651,0.007501268813444572,-0.12324553748570288,-0.10951631826245523
stgcn_diffusion,group_by_cell,intensity,3,3,0.014883253604530175,0.0018228929806391662,0.4659696780955403,0.06539156124050935,0.3973186242554161,0.527522597223663
stgcn_diffusion,group_by_cell,intermittency,2,3,0.01902199061448395,0.0022892750185729083,-0.18579878148117013,0.11711741403855871,-0.2982884040001377,-0.06454587618537166
stgcn_diffusion,group_by_cell,occurrence,2,3,0.015186366788042055,0.0024264398979182995,0.4827155440347038,0.06383616043637265,0.4354375671269737,0.5553305475764914
stgcn_diffusion,group_by_cell,physical_all,12,3,0.013707557353494326,0.0019868866624059515,0.5502219864835446,0.04436131792396209,0.5208701189781472,0.601254177378722
stgcn_diffusion,group_by_cell,physical_plus_shift,23,3,0.010518463974168854,0.001053003514883156,0.6585632284200439,0.0415641449704075,0.6180355425021742,0.7010915757015082
stgcn_diffusion,group_by_cell,seasonality,2,3,0.017004897846654828,0.0026662556601191314,0.22835701220714114,0.10715481006584252,0.13753900860724755,0.3465411539028248
stgcn_diffusion,group_by_cell,shift_only,11,3,0.018219382262872442,0.0021137921867858257,-0.0053562317401477655,0.030753018022252943,-0.03126858120057152,0.028627561175623595
stgcn_diffusion,leave_target_region_out,extremes,3,3,0.028186891576572688,0.005580171410590712,-1.094079861229354,0.41880320667171433,-1.5601005068757505,-0.7492004439609183
stgcn_diffusion,leave_target_region_out,intensity,3,3,0.021651296178680394,0.0031349286403639367,-0.5425436522251472,0.01458252873666959,-0.5554148887427277,-0.5267059811459793
stgcn_diffusion,leave_target_region_out,intermittency,2,3,0.025930315282577606,0.0035924663226633213,-0.7871654398310662,0.1480787627832861,-0.8821367789734011,-0.6165430432302981
stgcn_diffusion,leave_target_region_out,occurrence,2,3,0.025067383000042603,0.004631021342804589,-0.8659965610334323,0.13362125887536877,-1.0096797804642876,-0.7454621370234209
stgcn_diffusion,leave_target_region_out,physical_all,12,3,0.024151347929806347,0.003661935094146879,-0.8857844569396468,0.07880681115711399,-0.9529398577380068,-0.7990266137006647
stgcn_diffusion,leave_target_region_out,physical_plus_shift,23,3,0.02917256022398623,0.004931877745934244,-1.170756615519001,0.1342999792097371,-1.3002489722482298,-1.0321167190366167
stgcn_diffusion,leave_target_region_out,seasonality,2,3,0.023710000461460875,0.0038149221883034454,-0.680422317154053,0.09543728855594939,-0.781203240397119,-0.5914225279079941
stgcn_diffusion,leave_target_region_out,shift_only,11,3,0.018665463913256432,0.0024204091349887685,-0.0727910656435049,0.07408052892333737,-0.13730013983444556,0.00811384941382931
