forecast_model,n_pairs,n_splits,alpha,target_coverage,empirical_coverage,unsafe_deploy_rate,deploy_rate,adapt_rate,retrain_rate,mean_cost
graphwavenet_transfer,110,200,0.2,0.8,0.7980909090909091,0.0,0.0003636363636363636,0.026000000000000006,0.9736363636363636,0.6622727272727272
graphwavenet_transfer,110,200,0.1,0.9,0.9078181818181819,0.0,0.0,0.0,1.0,0.7047272727272726
graphwavenet_transfer,110,200,0.05,0.95,0.9642727272727272,0.0,0.0,0.0,1.0,0.6866363636363636
linear_window,110,200,0.2,0.8,0.8079090909090908,0.0025,0.00027272727272727274,0.013181818181818182,0.9865454545454546,1.119909090909091
linear_window,110,200,0.1,0.9,0.9061818181818181,0.0,0.0,0.0001818181818181818,0.9998181818181818,1.1350909090909092
linear_window,110,200,0.05,0.95,0.9579999999999999,0.0,0.0,0.0,1.0,1.111
patchtst_small,110,200,0.2,0.8,0.7941818181818181,0.005,0.008636363636363635,0.025090909090909087,0.9662727272727273,1.0876363636363635
patchtst_small,110,200,0.1,0.9,0.9081818181818181,0.0,0.0,0.0003636363636363636,0.9996363636363637,1.0876363636363637
patchtst_small,110,200,0.05,0.95,0.9648181818181817,0.0,0.0,0.0,1.0,1.1004545454545456
regional_doy_climatology,110,200,0.2,0.8,0.7983636363636364,0.11256368631368631,0.16618181818181818,0.006545454545454545,0.8272727272727272,0.9934545454545455
regional_doy_climatology,110,200,0.1,0.9,0.9163636363636364,0.013589285714285713,0.105,0.009,0.8859999999999999,1.0614545454545454
regional_doy_climatology,110,200,0.05,0.95,0.9671818181818181,0.0,0.04745454545454546,0.0037272727272727266,0.9488181818181818,1.2235454545454545
spatial_knn_ridge,110,200,0.2,0.8,0.8053636363636363,0.0,0.14854545454545454,0.0630909090909091,0.7883636363636364,0.8110909090909091
spatial_knn_ridge,110,200,0.1,0.9,0.9103636363636363,0.0,0.05818181818181818,0.05190909090909091,0.8899090909090908,1.080090909090909
spatial_knn_ridge,110,200,0.05,0.95,0.963909090909091,0.0,0.015272727272727273,0.024272727272727272,0.9604545454545453,1.2684545454545455
stgcn_diffusion,110,200,0.2,0.8,0.8003636363636363,0.0,0.0023636363636363638,0.03727272727272728,0.9603636363636363,0.6982727272727272
stgcn_diffusion,110,200,0.1,0.9,0.9082727272727271,0.0,0.0,0.0017272727272727272,0.9982727272727273,0.7875454545454545
stgcn_diffusion,110,200,0.05,0.95,0.9648181818181818,0.0,0.0,0.0,1.0,0.795
