cv_kind,forecast_model,estimator,r2,r2_lo,r2_hi
group_by_cell,graphwavenet_transfer,hist_gbm,0.43428420996664263,0.38372575515106316,0.4761309238296333
group_by_cell,graphwavenet_transfer,hist_gbm_mono,0.37822934616408277,0.31980043573410255,0.4271797751673652
group_by_cell,linear_window,hist_gbm,-0.016335062130970135,-0.02508148145091882,-0.009756315835335334
group_by_cell,linear_window,hist_gbm_mono,-0.023444987060956546,-0.030965913387561585,-0.017309240864749303
group_by_cell,patchtst_small,hist_gbm,-0.014323089271588652,-0.022691851275769937,-0.007385009948816657
group_by_cell,patchtst_small,hist_gbm_mono,-0.019829677999163797,-0.028652934967975136,-0.012399500842665556
group_by_cell,regional_doy_climatology,hist_gbm,0.888076454183766,0.7914981961985015,0.9685067517795184
group_by_cell,regional_doy_climatology,hist_gbm_mono,0.7469088352928619,0.6047715825656413,0.8579505685479194
group_by_cell,spatial_knn_ridge,hist_gbm,0.844448696842992,0.8191576537243932,0.8672254414005112
group_by_cell,spatial_knn_ridge,hist_gbm_mono,0.568964808050934,0.49887859691443004,0.6221231812888871
group_by_cell,stgcn_diffusion,hist_gbm,0.2969348115697724,0.12279601352521277,0.44444686181855586
group_by_cell,stgcn_diffusion,hist_gbm_mono,0.31987201208683147,0.2570249824372555,0.3865958517187617
leave_target_region_out,graphwavenet_transfer,hist_gbm,0.19843155360763187,0.15993393153108,0.23220377259224195
leave_target_region_out,graphwavenet_transfer,hist_gbm_mono,0.15223806638430537,0.08475370798101425,0.1992913407067869
leave_target_region_out,linear_window,hist_gbm,-0.019590424406853213,-0.026936375648272937,-0.011954088084909682
leave_target_region_out,linear_window,hist_gbm_mono,-0.018491903164429946,-0.0258661349131384,-0.011829982347459623
leave_target_region_out,patchtst_small,hist_gbm,-0.02654932227597162,-0.035179269497278495,-0.01771098336932004
leave_target_region_out,patchtst_small,hist_gbm_mono,-0.023594672455514498,-0.031590265251326535,-0.015702902432344824
leave_target_region_out,regional_doy_climatology,hist_gbm,-0.41603670227929146,-0.7496407343239601,-0.13347045897969323
leave_target_region_out,regional_doy_climatology,hist_gbm_mono,0.1239858239122964,-0.2660422960883851,0.41150551882948394
leave_target_region_out,spatial_knn_ridge,hist_gbm,-0.40412732749022795,-0.483202606346925,-0.3420554878436952
leave_target_region_out,spatial_knn_ridge,hist_gbm_mono,-0.3241652595167688,-0.44739083033773774,-0.2109909309710465
leave_target_region_out,stgcn_diffusion,hist_gbm,0.022457509065923142,-0.026930351480693747,0.0662800422514099
leave_target_region_out,stgcn_diffusion,hist_gbm_mono,0.0899986129161735,0.05692539960849449,0.1205235899618606
