cv_kind,forecast_model,feature_set,control,repeat,mae,r2
group_by_cell,graphwavenet_transfer,physical,observed,0,0.05831266212313397,0.05174445106527381
group_by_cell,graphwavenet_transfer,physical,permuted_physical,1,0.0774184811453533,-0.06537096918569874
group_by_cell,graphwavenet_transfer,physical,permuted_physical,2,0.07695779835678652,-0.04607064580823095
group_by_cell,graphwavenet_transfer,physical,permuted_physical,3,0.0777830212743144,-0.05935623531701961
group_by_cell,graphwavenet_transfer,physical,permuted_physical,4,0.0769251138654175,-0.04754948241887291
group_by_cell,graphwavenet_transfer,physical,permuted_physical,5,0.07668625320020185,-0.03893745715585317
group_by_cell,graphwavenet_transfer,shift,observed,0,0.06269089582075706,0.12022616817080778
group_by_cell,graphwavenet_transfer,physical_plus_shift,observed,0,0.051848794127929886,0.13653895704380792
group_by_cell,graphwavenet_transfer,physical_plus_shift,permuted_physical,1,0.06350233925713754,0.0960678006511756
group_by_cell,graphwavenet_transfer,physical_plus_shift,permuted_physical,2,0.06327417029574878,0.09567687172146366
group_by_cell,graphwavenet_transfer,physical_plus_shift,permuted_physical,3,0.06335892043552274,0.09807917795835663
group_by_cell,graphwavenet_transfer,physical_plus_shift,permuted_physical,4,0.06347458438578772,0.10503027479244187
group_by_cell,graphwavenet_transfer,physical_plus_shift,permuted_physical,5,0.06394230182628942,0.09140227910795251
group_by_cell,spatial_knn_ridge,physical,observed,0,0.06602272028793314,0.0878433994503639
group_by_cell,spatial_knn_ridge,physical,permuted_physical,1,0.07372036351637085,-0.05773229829964066
group_by_cell,spatial_knn_ridge,physical,permuted_physical,2,0.07306493051107264,-0.049502439340048054
group_by_cell,spatial_knn_ridge,physical,permuted_physical,3,0.07387245784724565,-0.0658463064854673
group_by_cell,spatial_knn_ridge,physical,permuted_physical,4,0.07345930093045305,-0.05363363467909865
group_by_cell,spatial_knn_ridge,physical,permuted_physical,5,0.07360992934778787,-0.05915846724985285
group_by_cell,spatial_knn_ridge,shift,observed,0,0.030072495855327692,0.6560235108095377
group_by_cell,spatial_knn_ridge,physical_plus_shift,observed,0,0.033417031125320906,0.5256169304320719
group_by_cell,spatial_knn_ridge,physical_plus_shift,permuted_physical,1,0.031033534176467547,0.6395763691015206
group_by_cell,spatial_knn_ridge,physical_plus_shift,permuted_physical,2,0.03103080533422694,0.6403423916437325
group_by_cell,spatial_knn_ridge,physical_plus_shift,permuted_physical,3,0.031153861793991464,0.6386081354294847
group_by_cell,spatial_knn_ridge,physical_plus_shift,permuted_physical,4,0.031109923313191772,0.6416241197475212
group_by_cell,spatial_knn_ridge,physical_plus_shift,permuted_physical,5,0.030888496398012017,0.6480078437938119
group_by_cell,stgcn_diffusion,physical,observed,0,0.07939583257905553,0.06096245222566454
group_by_cell,stgcn_diffusion,physical,permuted_physical,1,0.09720636257999604,-0.045386904652605864
group_by_cell,stgcn_diffusion,physical,permuted_physical,2,0.09638658826813132,-0.0427929541031824
group_by_cell,stgcn_diffusion,physical,permuted_physical,3,0.09677830961311094,-0.039433008154291294
group_by_cell,stgcn_diffusion,physical,permuted_physical,4,0.09643503325437568,-0.04442730653221427
group_by_cell,stgcn_diffusion,physical,permuted_physical,5,0.09684088365488717,-0.04361520944992514
group_by_cell,stgcn_diffusion,shift,observed,0,0.07932399118452947,0.18248879199848078
group_by_cell,stgcn_diffusion,physical_plus_shift,observed,0,0.0643099061322992,0.29786724677089393
group_by_cell,stgcn_diffusion,physical_plus_shift,permuted_physical,1,0.08070751600691202,0.1781388065416708
group_by_cell,stgcn_diffusion,physical_plus_shift,permuted_physical,2,0.08164869719818833,0.1287443352944152
group_by_cell,stgcn_diffusion,physical_plus_shift,permuted_physical,3,0.08025487402929861,0.15576249308595458
group_by_cell,stgcn_diffusion,physical_plus_shift,permuted_physical,4,0.08109092137596013,0.12859647990586687
group_by_cell,stgcn_diffusion,physical_plus_shift,permuted_physical,5,0.08003887080520967,0.14225507830473305
